time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-26 00:00:00+00:00,9,4,0,0
2026-06-27 00:00:00+00:00,28,9,0,0
2026-06-28 00:00:00+00:00,10,4,0,0
2026-06-29 00:00:00+00:00,16,7,5,2
2026-06-30 00:00:00+00:00,15,6,2,2
2026-07-01 00:00:00+00:00,14,6,0,0
2026-07-02 00:00:00+00:00,26,8,0,0
2026-07-03 00:00:00+00:00,20,7,0,0
2026-07-04 00:00:00+00:00,15,6,0,0
2026-07-05 00:00:00+00:00,9,4,0,0
2026-07-06 00:00:00+00:00,15,5,1,1
2026-07-07 00:00:00+00:00,18,8,0,0
2026-07-08 00:00:00+00:00,0,0,1,1
2026-07-09 00:00:00+00:00,6,2,0,0
