url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,10,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,9,1
/vandan-revanur/pychemovality,8,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,8,1
/vandan-revanur/pychemovality/tree/github-repo-stats,4,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.html,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/GEPOL93_modified.FOR,1,1
/vandan-revanur/pychemovality/commit/51356731752be0f02c520f9d0d3d116a74d88784,1,1
