time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,13,4,0,0
2026-05-13 00:00:00+00:00,31,8,1,1
2026-05-14 00:00:00+00:00,19,7,0,0
2026-05-15 00:00:00+00:00,26,8,1,1
2026-05-16 00:00:00+00:00,12,6,0,0
2026-05-17 00:00:00+00:00,9,4,0,0
2026-05-18 00:00:00+00:00,9,4,0,0
2026-05-19 00:00:00+00:00,14,5,0,0
2026-05-20 00:00:00+00:00,10,5,0,0
2026-05-21 00:00:00+00:00,18,5,0,0
2026-05-22 00:00:00+00:00,26,7,3,1
2026-05-23 00:00:00+00:00,5,5,0,0
2026-05-24 00:00:00+00:00,9,3,0,0
2026-05-25 00:00:00+00:00,16,7,0,0
