url_path,views_total,views_unique
/vandan-revanur/pychemovality,6,4
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,4,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,4,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.md,2,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats,2,1
/vandan-revanur/pychemovality/tree/master,1,1
