time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,18,8,0,0
2026-04-06 00:00:00+00:00,9,5,0,0
2026-04-07 00:00:00+00:00,7,3,0,0
2026-04-08 00:00:00+00:00,14,7,0,0
2026-04-09 00:00:00+00:00,4,3,0,0
2026-04-10 00:00:00+00:00,29,8,0,0
2026-04-11 00:00:00+00:00,25,11,1,1
2026-04-12 00:00:00+00:00,36,14,0,0
2026-04-13 00:00:00+00:00,11,6,0,0
2026-04-14 00:00:00+00:00,19,8,0,0
2026-04-15 00:00:00+00:00,10,5,0,0
2026-04-16 00:00:00+00:00,33,11,0,0
2026-04-17 00:00:00+00:00,26,8,0,0
2026-04-18 00:00:00+00:00,20,7,0,0
