url_path,views_total,views_unique
/vandan-revanur/pychemovality,3,3
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,3,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,2,1
/vandan-revanur/pychemovality/tree/master/pychemovality,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats,1,1
/vandan-revanur/pychemovality/tree/master,1,1
