url_path,views_total,views_unique
/vandan-revanur/pychemovality,9,5
/vandan-revanur/pychemovality/blob/master/fortran_compilation_instructions.md,6,1
/vandan-revanur/pychemovality/blob/80c979b349e6b840c70e5f6b2c8a67e31e842b26/pychemovality/fileoperations.py,4,1
/vandan-revanur/pychemovality/blob/80c979b349e6b840c70e5f6b2c8a67e31e842b26/pychemovality/ovalitycalculations.py,4,1
/vandan-revanur/pychemovality/blob/master/docs/fortran_compilation_instructions.md,4,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/GEPOL93_modified.FOR,4,1
/vandan-revanur/pychemovality/blob/80c979b349e6b840c70e5f6b2c8a67e31e842b26/pychemovality/classes.py,2,1
/vandan-revanur/pychemovality/blob/80c979b349e6b840c70e5f6b2c8a67e31e842b26/pychemovality/fortran/GEPOL93_modified.FOR,2,1
/vandan-revanur/pychemovality/blob/80c979b349e6b840c70e5f6b2c8a67e31e842b26/README.md,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/gepol93_with_args.exe,2,1
