url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,8,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,6,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,6,1
/vandan-revanur/pychemovality,3,1
/vandan-revanur/pychemovality/tree/github-repo-stats,3,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.html,2,1
