url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,35,4
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,21,3
/vandan-revanur/pychemovality,12,7
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,8,2
/vandan-revanur/pychemovality/tree/master/.github/workflows,7,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,6,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,6,2
/vandan-revanur/pychemovality/tree/github-repo-stats,3,2
/vandan-revanur/pychemovality/blob/master/fortran_compilation_instructions.md,3,1
/vandan-revanur/pychemovality/blob/master/pychemovality/classes.py,2,1
