url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,3,2
/vandan-revanur/pychemovality,2,2
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,2,1
/vandan-revanur/pychemovality/tree/master/docs,2,1
/vandan-revanur/pychemovality/blob/master/docs/fortran_compilation_instructions.md,1,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/GEPOL93_modified.FOR,1,1
/vandan-revanur/pychemovality/blob/master/pychemovality/__init__.py,1,1
/vandan-revanur/pychemovality/blob/master/pychemovality/__main__.py,1,1
/vandan-revanur/pychemovality/tree/master/pychemovality/fortran,1,1
