time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,94,32,0,0
2026-04-25 00:00:00+00:00,56,23,0,0
2026-04-26 00:00:00+00:00,42,12,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,12,5,15,1
2026-04-29 00:00:00+00:00,24,8,0,0
2026-04-30 00:00:00+00:00,39,12,0,0
2026-05-01 00:00:00+00:00,29,7,0,0
2026-05-02 00:00:00+00:00,24,8,0,0
2026-05-03 00:00:00+00:00,11,5,0,0
2026-05-04 00:00:00+00:00,13,4,0,0
2026-05-05 00:00:00+00:00,40,14,0,0
2026-05-06 00:00:00+00:00,14,6,0,0
2026-05-07 00:00:00+00:00,8,3,0,0
