url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,7,2
/vandan-revanur/pychemovality,6,4
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,4,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/constants.py,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,2,1
/vandan-revanur/pychemovality/tree/master/docs,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats,1,1
/vandan-revanur/pychemovality/tree/update-readme,1,1
