url_path,views_total,views_unique
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,6,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,6,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,6,2
/vandan-revanur/pychemovality,5,3
/vandan-revanur/pychemovality/tree/github-repo-stats,3,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur,2,1
/vandan-revanur/pychemovality/tree/update-readme,1,1
