url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,14,1
/vandan-revanur/pychemovality/tree/master/docs,9,2
/vandan-revanur/pychemovality,7,4
/vandan-revanur/pychemovality/tree/master,4,1
/vandan-revanur/pychemovality/tree/master/.github/workflows,3,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/blob/master/docs/fortran_compilation_instructions.md,2,1
/vandan-revanur/pychemovality/blob/master/LICENSE.txt,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/__main__.py,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,2,1
